iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,1.0,-5168.879586195366,1576.992578249542,1576.992578249542,-3591.887007945824,131.95862031231124,0,996
1,1.0,-5129.791431150459,1468.7959722518149,1468.7959722518149,-3660.9954588986443,125.21275724847187,0,988
2,1.0,-5095.315809008011,1376.0218547771578,1376.0218547771578,-3719.2939542308527,119.31578187257682,0,956
3,1.0,-5064.970552502318,1296.1414031448205,1296.1414031448205,-3768.829149357498,114.15010349112882,0,932
4,1.0,-5038.3403390129515,1227.1232138036057,1227.1232138036057,-3811.217125209346,109.6069973768933,0,932
5,1.0,-5015.070701034297,1167.3161814063842,1167.3161814063842,-3847.7545196279125,105.60666673871619,0,932
6,1.0,-4994.844797831344,1115.3466411980587,1115.3466411980587,-3879.4981566332854,102.09951315651786,0,924
7,1.0,-4977.1971128868045,1069.893909325769,1069.893909325769,-3907.3032035610354,99.01763502357761,0,924
8,1.0,-4962.007908691117,1030.1533761996084,1030.1533761996084,-3931.854532491509,96.29613274492097,0,916
9,1.0,-4948.932592674424,995.4936912604667,995.4936912604667,-3953.4389014139574,93.81836993566804,0,920
10,1.0,-4937.39106191587,965.2956408510399,965.2956408510399,-3972.0954210648297,91.60018107252033,0,920
11,1.0,-4926.793859655882,938.7428910610444,938.7428910610444,-3988.050968594838,89.59669627006241,0,920
12,1.0,-4916.821682477505,915.2462484140452,915.2462484140452,-4001.5754340634603,87.81972806918387,0,924
13,1.0,-4907.355997553105,894.2860096958731,894.2860096958731,-4013.0699878572323,86.24181843295187,0,924
14,1.0,-4898.358804397699,875.4699081940507,875.4699081940507,-4022.888896203648,84.82862172260612,0,936
15,1.0,-4889.770675547122,858.4837716878128,858.4837716878128,-4031.286903859309,83.55834349171724,0,936
16,1.0,-4881.480412532593,842.9896577945464,842.9896577945464,-4038.4907547380462,82.42292740855022,0,932
17,1.0,-4873.549449489242,828.8255389117486,828.8255389117486,-4044.7239105774934,81.40424985001253,0,940
18,1.0,-4865.935268586701,815.7875592749933,815.7875592749933,-4050.1477093117073,80.49168069898666,0,932
19,1.0,-4858.805706483759,803.8645073156212,803.8645073156212,-4054.941199168138,79.68390075679514,0,932
20,1.0,-4852.0212077521055,792.8315703116948,792.8315703116948,-4059.1896374404105,78.9536252611698,0,932
21,1.0,-4845.230417600284,782.3433546366593,782.3433546366593,-4062.887062963625,78.27907375905812,0,924
22,1.0,-4838.44528696799,772.3627064760013,772.3627064760013,-4066.0825804919887,77.65410110516362,0,916
23,1.0,-4832.089892330687,763.1402502233167,763.1402502233167,-4068.94964210737,77.1010916527623,0,892
24,1.0,-4826.14064094709,754.5968831266326,754.5968831266326,-4071.5437578204574,76.60467821409063,0,892
25,1.0,-4820.4962883276585,746.6034161272187,746.6034161272187,-4073.89287220044,76.15337913741507,0,872
26,1.0,-4815.138685777854,739.114181678767,739.114181678767,-4076.0245040990876,75.74224791699108,0,872
27,1.0,-4809.980716772417,732.038736110202,732.038736110202,-4077.9419806622145,75.36430563097736,0,852
28,1.0,-4805.1542977361905,725.4450835114056,725.4450835114056,-4079.709214224785,75.0236664139002,0,844
29,1.0,-4800.639556457372,719.2923598032355,719.2923598032355,-4081.3471966541365,74.71130878388398,0,852
30,1.0,-4796.391112909685,713.522987376947,713.522987376947,-4082.8681255327383,74.42327791670147,0,848
31,1.0,-4792.331886671346,708.0567533898171,708.0567533898171,-4084.275133281529,74.15519548957776,0,848
32,1.0,-4788.690561107827,703.1519605182234,703.1519605182234,-4085.538600589604,73.92245977592822,0,848
33,1.0,-4785.298041106628,698.5706051506802,698.5706051506802,-4086.727435955948,73.70766880970163,0,848
34,1.0,-4782.130680764164,694.2783126319626,694.2783126319626,-4087.8523681322013,73.50792946400298,0,848
35,1.0,-4779.175571590824,690.2529089160764,690.2529089160764,-4088.9226626747477,73.3220519204177,0,848
36,1.0,-4776.42203634812,686.4778859434214,686.4778859434214,-4089.9441504046986,73.14893838733704,0,848
37,1.0,-4773.815611107541,682.8944476936022,682.8944476936022,-4090.921163413939,72.98672820662397,0,848
38,1.0,-4771.374511548127,679.5154383549901,679.5154383549901,-4091.8590731931367,72.83509408906538,0,848
39,1.0,-4769.275308447202,676.5671640687248,676.5671640687248,-4092.7081443784778,72.71073012854714,0,848
40,1.0,-4767.19479972112,673.6871622452529,673.6871622452529,-4093.5076374758673,72.59126390715554,0,848
41,1.0,-4765.250081798804,670.9669700008493,670.9669700008493,-4094.2831117979545,72.4788842888925,0,848
42,1.0,-4763.497971689839,668.4757150499097,668.4757150499097,-4095.022256639929,72.37379801253557,0,848
43,1.0,-4761.706101333658,666.0231466223613,666.0231466223613,-4095.6829547112966,72.26886701267392,0,848
44,1.0,-4759.581697144771,663.3693311230359,663.3693311230359,-4096.212366021735,72.1555601539951,0,848
45,1.0,-4757.57583316714,660.8560175295943,660.8560175295943,-4096.719815637546,72.04895092697124,0,848
46,1.0,-4755.684002762152,658.4766632806261,658.4766632806261,-4097.207339481526,71.9485944007768,0,848
47,1.0,-4753.7238191160895,656.0904871704255,656.0904871704255,-4097.633331945664,71.84847559897496,0,848
48,1.0,-4751.789828381696,653.7691837235811,653.7691837235811,-4098.020644658114,71.75158956565893,0,848
49,1.0,-4749.968606482546,651.5800816414026,651.5800816414026,-4098.388524841144,71.66037346599238,0,848
50,1.0,-4748.257175409685,649.5200276232733,649.5200276232733,-4098.737147786412,71.57447131400407,0,848
51,1.0,-4746.646202451584,647.5753534202026,647.5753534202026,-4099.070849031381,71.49392146189345,0,848
52,1.0,-4745.1794326520985,645.795277808675,645.795277808675,-4099.384154843424,71.42198006128066,0,848
53,1.0,-4743.79434222202,644.1074456918825,644.1074456918825,-4099.686896530137,71.35396312730565,0,848
54,1.0,-4742.4875919402475,642.5076459909503,642.5076459909503,-4099.979945949297,71.28963397494367,0,848
55,1.0,-4741.255588482827,640.9914141560646,640.9914141560646,-4100.264174326762,71.22876998059209,0,848
56,1.0,-4740.09497015753,639.5546354650221,639.5546354650221,-4100.540334692508,71.17116401352078,0,848
57,1.0,-4739.005866056115,638.1973990952804,638.1973990952804,-4100.808466960835,71.1166549463422,0,848
58,1.0,-4737.983463307239,636.9143189877666,636.9143189877666,-4101.069144319472,71.06504317648155,0,848
59,1.0,-4737.022888459716,635.699610195787,635.699610195787,-4101.32327826393,71.01623337625739,0,844
60,1.0,-4736.120290091368,634.5486200957671,634.5486200957671,-4101.571669995601,70.97012504957816,0,844
61,1.0,-4735.2728848359575,633.4581079539325,633.4581079539325,-4101.814776882025,70.92639438557174,0,844
62,1.0,-4734.478117088044,632.4251122807445,632.4251122807445,-4102.0530048073,70.88490581325179,0,844
63,1.0,-4733.733519585166,631.4467978086108,631.4467978086108,-4102.286721776555,70.84553220261215,0,844
64,1.0,-4733.0412018433035,630.5255362749361,630.5255362749361,-4102.515665568368,70.80820585483131,0,844
65,1.0,-4732.440032478584,629.7054976736024,629.7054976736024,-4102.734534804981,70.77329085351852,0,844
66,1.0,-4731.942218528185,628.9987156137756,628.9987156137756,-4102.943502914409,70.74457156044626,0,844
67,1.0,-4731.448818577601,628.3008674924436,628.3008674924436,-4103.147951085157,70.71689947913195,0,844
68,1.0,-4730.966744782206,627.6180139164346,627.6180139164346,-4103.348730865771,70.6901667514674,0,844
69,1.0,-4730.515249634436,626.9685776487713,626.9685776487713,-4103.546671985665,70.6646685184075,0,844
70,1.0,-4730.092630346844,626.3505793501769,626.3505793501769,-4103.742050996667,70.64033847536717,0,844
71,1.0,-4729.708252247874,625.775572252963,625.775572252963,-4103.932679994911,70.61735545676508,0,828
72,1.0,-4729.371283594869,625.2551693263083,625.2551693263083,-4104.1161142685605,70.5958900697341,0,828
73,1.0,-4729.0537588698435,624.756403086641,624.756403086641,-4104.297355783203,70.57536397270239,0,828
74,1.0,-4728.7165978056555,624.2476098008003,624.2476098008003,-4104.468988004855,70.55480362241315,0,820
75,1.0,-4728.361258829178,623.7301628852917,623.7301628852917,-4104.631095943886,70.53438406150393,0,820
76,1.0,-4728.027468806554,623.2362077670625,623.2362077670625,-4104.7912610394915,70.51488265597021,0,820
77,1.0,-4727.714724722477,622.7651316643635,622.7651316643635,-4104.949593058113,70.49625640646258,0,820
78,1.0,-4727.422525043188,622.3163330553807,622.3163330553807,-4105.1061919878075,70.47846725019673,0,820
79,1.0,-4727.150264625622,621.8891152534064,621.8891152534064,-4105.261149372216,70.46147612316693,0,820
80,1.0,-4726.897294619142,621.4827454931947,621.4827454931947,-4105.414549125947,70.44524513216568,0,820
81,1.0,-4726.662947533194,621.0964791329831,621.0964791329831,-4105.56646840021,70.42973816328514,0,820
82,1.0,-4726.446546347445,620.7295680219271,620.7295680219271,-4105.7169783255185,70.41492082326229,0,820
83,1.0,-4726.247422539113,620.3812778751912,620.3812778751912,-4105.866144663922,70.40076088169427,0,820
84,1.0,-4726.064896929024,620.0508637079469,620.0508637079469,-4106.014033221078,70.38759364984013,0,812
85,1.0,-4725.897969720588,619.7372551232859,619.7372551232859,-4106.160714597302,70.37500840556794,0,812
86,1.0,-4725.7459996630605,619.4397598923682,619.4397598923682,-4106.306239770693,70.36297392274506,0,812
87,1.0,-4725.624736963784,619.1773162886042,619.1773162886042,-4106.44742067518,70.3515641842895,0,812
88,1.0,-4725.524758029778,618.9393962454601,618.9393962454601,-4106.585361784319,70.34070169111847,0,812
89,1.0,-4725.432546194445,618.7102241702846,618.7102241702846,-4106.722322024161,70.3302830258266,0,812
90,1.0,-4725.348396629169,618.4900456788039,618.4900456788039,-4106.858350950365,70.3202908031989,0,812
91,1.0,-4725.272486463047,618.2789944777262,618.2789944777262,-4106.993491985321,70.31070808018319,0,812
