penalty_weight,final_original_objective,final_constraint_violation,undercured_voxels,overcured_voxels
1.0,2270.841608104244,73.30472977950036,28,232
10.0,2463.337210012318,5.251125128397328,12,136
100.0,13834.636499703473,6736.505910825852,0,3148
1000.0,25440.380634684385,16395.833136419067,0,4864
10000.0,30832.516007264712,21347.64262091687,0,5372
100000.0,31665.847091333562,22125.48638897693,0,5492
1000000.0,31665.847091333562,22125.48638897693,0,5492
10000000.0,31665.847091333562,22125.48638897693,0,5492
100000000.0,31665.847091333562,22125.48638897693,0,5492
