iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,1000.0,4162.985653427059,1006.6961840897205,1006696.1840897205,1010859.1697431476,69932.43914037428,0,996
1,1000.0,3442.7708024312824,378.4919849935833,378491.9849935833,381934.75579601456,56525.24319788786,636,0
2,1000.0,14248.256371856118,6977.339734455702,6977339.734455702,6991587.990827558,170431.66560004285,0,3332
3,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
4,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
5,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
6,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
7,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
8,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
9,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
10,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
11,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
12,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
13,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
14,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
15,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
16,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
17,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
18,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
19,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
20,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
21,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
22,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
23,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
24,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
25,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
26,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
27,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
28,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
29,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
30,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
31,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
32,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
33,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
34,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
35,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
36,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
37,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
38,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
39,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
40,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
41,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
42,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
43,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
44,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
45,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
46,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
47,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
48,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
49,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
50,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
51,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
52,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
53,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
54,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
55,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
56,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
57,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
58,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
59,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
60,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
61,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
62,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
63,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
64,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
65,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
66,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
67,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
68,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
69,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
70,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
71,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
72,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
73,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
74,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
75,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
76,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
77,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
78,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
79,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
80,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
81,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
82,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
83,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
84,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
85,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
86,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
87,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
88,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
89,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
90,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
91,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
92,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
93,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
94,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
95,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
96,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
97,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
98,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
99,1000.0,3480.6782694322965,395.1305280917629,395130.5280917629,398611.2063611952,57638.43707294924,652,0
100,1000.0,14472.616524562087,7134.11076996382,7134110.7699638195,7148583.386488382,172312.5879541118,0,3384
