iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,1.0,4162.985653427059,1006.6961840897205,1006.6961840897205,5169.6818375167795,330.9365684371761,0,996
1,1.0,4031.3096826382784,961.4388458777006,961.4388458777006,4992.748528515979,325.9339094697656,0,988
2,1.0,3907.9746145519175,918.9958689081933,918.9958689081933,4826.970483460111,321.3750524188285,0,924
3,1.0,3790.5143191590532,878.3615042315653,878.3615042315653,4668.875823390618,317.77190361909794,0,924
4,1.0,3688.5986094686023,839.4737410611463,839.4737410611463,4528.072350529748,310.9730808501768,0,924
5,1.0,3602.386348895726,803.8237446396284,803.8237446396284,4406.210093535355,309.323427607404,0,924
6,1.0,3521.138591001896,769.0439170069055,769.0439170069055,4290.182508008802,307.8211504073689,0,924
7,1.0,3442.646702123842,735.0736935190921,735.0736935190921,4177.720395642934,307.8211504073689,0,924
8,1.0,3364.1548132457874,701.3129130189152,701.3129130189152,4065.467726264703,307.1302913361889,0,912
9,1.0,3286.4153993351883,667.7121869827574,667.7121869827574,3954.1275863179458,306.5396692489583,0,912
10,1.0,3210.1004773929917,634.785156660839,634.785156660839,3844.8856340538305,303.98970722579105,0,888
11,1.0,3137.5444590913376,603.3461422900227,603.3461422900227,3740.8906013813603,303.1257579198085,0,872
12,1.0,3066.414998838719,572.4597026726182,572.4597026726182,3638.874701511337,301.0906545526023,0,848
13,1.0,3001.51004320025,542.6484745794606,542.6484745794606,3544.1585177797106,296.60438488370573,0,832
14,1.0,2947.633730236344,515.695866617882,515.695866617882,3463.329596854226,294.40572217307357,0,824
15,1.0,2898.7202570415434,490.09687234281046,490.09687234281046,3388.817129384354,291.92535859667976,0,800
16,1.0,2855.247267298093,466.1770863914228,466.1770863914228,3321.4243536895156,289.2160820778679,0,776
17,1.0,2816.742246467686,443.77692922212754,443.77692922212754,3260.5191756898134,286.8909566613847,0,764
18,1.0,2785.1247549846353,423.12551760245526,423.12551760245526,3208.2502725870904,283.34248793716506,0,748
19,1.0,2762.5224203873586,404.9569411484231,404.9569411484231,3167.4793615357817,280.54574533259927,0,740
20,1.0,2743.596866965033,389.24308090057167,389.24308090057167,3132.8399478656047,278.49052902757444,0,708
