iteration,penalty_weight,original_objective,raw_penalty,weighted_penalty,penalized_objective,gradient_norm,undercured_voxels,overcured_voxels
0,1000000.0,4162.985653427059,1006.6961840897205,1006696184.0897205,1006700347.0753739,69740194.52654105,0,996
1,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
2,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
3,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
4,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
5,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
6,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
7,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
8,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
9,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
10,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
11,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
12,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
13,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
14,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
15,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
16,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
17,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
18,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
19,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
20,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
21,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
22,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
23,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
24,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
25,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
26,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
27,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
28,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
29,1000000.0,4318.659057747105,969.9999999999999,969999999.9999999,970004318.6590576,95611506.91754134,1000,0
30,1000000.0,31665.847091333562,22125.48638897693,22125486388.97693,22125518054.82402,229424254.33986658,0,5492
