penalty_weight,final_original_objective,final_constraint_violation,undercured_voxels,overcured_voxels
1.0,161.2865438249496,38.329305323316696,240,124
10.0,268.3494045892593,3.7209547913976952,112,136
100.0,344.69403095807263,0.052816891128321504,36,164
1000.0,391.69891262995327,0.009047294213890424,7,257
10000.0,612.0038049492417,0.0,0,708
100000.0,667.0308415636634,0.0,0,1124
1000000.0,963.8804021287625,0.0,0,2072
10000000.0,1157.1153368102894,0.0,0,3868
100000000.0,1159.213159457081,0.0,0,3916
